run_name,app_time,total_mpi_time,mpi_Allgather,mpi_Allgatherv,mpi_Allreduce,mpi_Barrier,mpi_Bcast,mpi_Comm_create,mpi_Comm_free,mpi_Comm_group,mpi_Group_free,mpi_Group_incl,mpi_Iprobe,mpi_Irecv,mpi_Isend,mpi_Recv,mpi_Scan,mpi_Send,mpi_Test,mpi_Testall,mpi_Wait,mpi_Waitall
2025-03-16_12-07-45-job36914005,3.312500e+02,2.417969e+02,3.435711e-04,7.752814e-03,2.262921e+01,3.780875e-04,1.977223e-01,3.332129e-02,1.030544e-04,1.504473e-03,2.835840e-03,1.653535e-03,1.742856e+01,4.276694e+01,4.916707e+01,4.675385e+00,3.696672e-01,2.233369e+00,7.082660e+00,2.861801e+00,1.204430e-01,9.224954e+01
2025-03-16_17-55-30-job36928341,3.312500e+02,2.417969e+02,3.483934e-04,7.763814e-03,2.267093e+01,4.158707e-04,1.975912e-01,3.311152e-02,1.031595e-04,1.504004e-03,2.837070e-03,1.651621e-03,1.746769e+01,4.267694e+01,4.906264e+01,4.669641e+00,3.779617e-01,2.227515e+00,7.088111e+00,2.879468e+00,1.201731e-01,9.228190e+01
2025-03-18_16-55-06-job36979948,3.312500e+02,2.417969e+02,3.457121e-04,7.730411e-03,2.258093e+01,3.864848e-04,1.964050e-01,3.124219e-02,1.040951e-04,1.507773e-03,2.838613e-03,1.649375e-03,1.737106e+01,4.283502e+01,4.925593e+01,4.675905e+00,3.796550e-01,2.236942e+00,7.046244e+00,2.868094e+00,1.206562e-01,9.232342e+01
2025-03-19_02-07-54-job37004996,3.312500e+02,2.417969e+02,3.450145e-04,7.707849e-03,2.251605e+01,4.446352e-04,2.034425e-01,3.238516e-02,1.025939e-04,1.508789e-03,2.844883e-03,1.657676e-03,1.738351e+01,4.279297e+01,4.922125e+01,4.694552e+00,3.745579e-01,2.234427e+00,7.039130e+00,2.876287e+00,1.205668e-01,9.229635e+01
2025-03-20_17-05-43-job37056496,3.312500e+02,2.417969e+02,3.500688e-04,7.660584e-03,2.223023e+01,4.421066e-04,2.014806e-01,3.078809e-02,1.024882e-04,1.507637e-03,2.838340e-03,1.654434e-03,1.738871e+01,4.278723e+01,4.921246e+01,4.688311e+00,3.731225e-01,2.234033e+00,7.053654e+00,2.866607e+00,1.204499e-01,9.250981e+01
2025-03-29_15-18-19-job37267628,3.312500e+02,2.417969e+02,3.534070e-04,7.728219e-03,2.259571e+01,7.165078e-04,1.987859e-01,3.401445e-02,1.061582e-04,1.512402e-03,2.840859e-03,1.659160e-03,1.741701e+01,4.280106e+01,4.921018e+01,4.696630e+00,3.823195e-01,2.236441e+00,7.079183e+00,2.867992e+00,1.205771e-01,9.215150e+01
2025-04-02_00-13-51-job37383398,3.312500e+02,2.417969e+02,3.452344e-04,7.668964e-03,2.256068e+01,6.604738e-04,1.947053e-01,3.453574e-02,1.009050e-04,1.506289e-03,2.844844e-03,1.664805e-03,1.744738e+01,4.275903e+01,4.914469e+01,4.681699e+00,3.784946e-01,2.233074e+00,7.100335e+00,2.857187e+00,1.205049e-01,9.230100e+01
2025-04-04_08-42-28-job37437370,3.312500e+02,2.421875e+02,3.472633e-04,7.768065e-03,2.276170e+01,7.604039e-04,1.968606e-01,3.405508e-02,1.030116e-04,1.511992e-03,2.837715e-03,1.658379e-03,1.744732e+01,4.270116e+01,4.908425e+01,4.686376e+00,3.862067e-01,2.230126e+00,7.083258e+00,2.877578e+00,1.202659e-01,9.237754e+01
2025-04-05_10-24-34-job37488995,3.312500e+02,2.417969e+02,3.457582e-04,7.755245e-03,2.253096e+01,6.484871e-04,1.953392e-01,3.520137e-02,1.032976e-04,1.514902e-03,2.835293e-03,1.656172e-03,1.746229e+01,4.275010e+01,4.916766e+01,4.676340e+00,3.816276e-01,2.232758e+00,7.096221e+00,2.872200e+00,1.202590e-01,9.240150e+01
2025-03-04_11-33-30-job36484461,3.316406e+02,2.421875e+02,3.475637e-04,7.853273e-03,2.280550e+01,4.314805e-04,2.010530e-01,3.308262e-02,1.038834e-04,1.503320e-03,2.841133e-03,1.657031e-03,1.747594e+01,4.276668e+01,4.915512e+01,4.696136e+00,3.891119e-01,2.232122e+00,7.118567e+00,2.858979e+00,1.204997e-01,9.236299e+01
2025-03-07_00-58-37-job36623634,3.316406e+02,2.421875e+02,3.635598e-04,7.712952e-03,2.273486e+01,4.709523e-04,1.999227e-01,3.284980e-02,1.035477e-04,1.505801e-03,2.841445e-03,1.661523e-03,1.772227e+01,4.280118e+01,4.922010e+01,4.666700e+00,3.864087e-01,2.234393e+00,7.265066e+00,2.869838e+00,1.205049e-01,9.193453e+01
2025-03-14_19-04-35-job36868338,3.316406e+02,2.421875e+02,3.493434e-04,7.760529e-03,2.275831e+01,3.693426e-04,1.997422e-01,3.320684e-02,1.022816e-04,1.505430e-03,2.835352e-03,1.650176e-03,1.747436e+01,4.275191e+01,4.914557e+01,4.672700e+00,3.807358e-01,2.232167e+00,7.105988e+00,2.869140e+00,1.203674e-01,9.232736e+01
2025-03-15_22-55-45-job36886491,3.316406e+02,2.421875e+02,3.459332e-04,7.726876e-03,2.290606e+01,5.949914e-04,1.965103e-01,3.334473e-02,1.030873e-04,1.501504e-03,2.833750e-03,1.651855e-03,1.750451e+01,4.271302e+01,4.910662e+01,4.674991e+00,3.872124e-01,2.229775e+00,7.111020e+00,2.884473e+00,1.202092e-01,9.215994e+01
2025-03-20_03-14-48-job37036078,3.316406e+02,2.421875e+02,3.501039e-04,7.712690e-03,2.303347e+01,3.894023e-04,1.961966e-01,3.422402e-02,1.043016e-04,1.508359e-03,2.835762e-03,1.654902e-03,1.749845e+01,4.266702e+01,4.908850e+01,4.683151e+00,3.813955e-01,2.228546e+00,7.108254e+00,2.882235e+00,1.201817e-01,9.213839e+01
2025-03-25_10-08-40-job37168766,3.316406e+02,2.421875e+02,3.495195e-04,7.773911e-03,2.286352e+01,4.181820e-04,1.975697e-01,3.438809e-02,1.037839e-04,1.508398e-03,2.839063e-03,1.656738e-03,1.746593e+01,4.275944e+01,4.916389e+01,4.692696e+00,3.928187e-01,2.232159e+00,7.093922e+00,2.877360e+00,1.203914e-01,9.208079e+01
2025-03-26_20-58-10-job37211694,3.316406e+02,2.417969e+02,3.433543e-04,7.731507e-03,2.264536e+01,4.191578e-04,1.954144e-01,3.290762e-02,1.026708e-04,1.513301e-03,2.845957e-03,1.660723e-03,1.750650e+01,4.273528e+01,4.914390e+01,4.681724e+00,3.733417e-01,2.233324e+00,7.110630e+00,2.894616e+00,1.203880e-01,9.228187e+01
2025-03-29_16-00-53-job37279440,3.316406e+02,2.421875e+02,3.459699e-04,7.823648e-03,2.265331e+01,4.058184e-04,1.945764e-01,3.306348e-02,1.011573e-04,1.509746e-03,2.846914e-03,1.659336e-03,1.738143e+01,4.281411e+01,4.923962e+01,4.699686e+00,3.819155e-01,2.237965e+00,7.048942e+00,2.875145e+00,1.205857e-01,9.256778e+01
2025-04-02_20-53-28-job37409182,3.316406e+02,2.421875e+02,3.434035e-04,7.691267e-03,2.258449e+01,4.531516e-04,1.983433e-01,3.287324e-02,1.036712e-04,1.506953e-03,2.842812e-03,1.660449e-03,1.746082e+01,4.272864e+01,4.917790e+01,4.684665e+00,3.844275e-01,2.234186e+00,7.082282e+00,2.885717e+00,1.204481e-01,9.255846e+01
2025-04-03_09-10-38-job37415941,3.316406e+02,2.421875e+02,3.448266e-04,7.795433e-03,2.264690e+01,3.732410e-04,1.991813e-01,3.322227e-02,1.017270e-04,1.507480e-03,2.844707e-03,1.657441e-03,1.747859e+01,4.276210e+01,4.918620e+01,4.695474e+00,3.940177e-01,2.235618e+00,7.104353e+00,2.875091e+00,1.205049e-01,9.246770e+01
2025-04-05_04-38-26-job37485587,3.316406e+02,2.421875e+02,3.433051e-04,7.758440e-03,2.261498e+01,3.918469e-04,1.977610e-01,3.292363e-02,1.063016e-04,1.511348e-03,2.842988e-03,1.664102e-03,1.742753e+01,4.278944e+01,4.920386e+01,4.674476e+00,3.786214e-01,2.234439e+00,7.063767e+00,2.890573e+00,1.205788e-01,9.265920e+01
2025-04-06_01-39-48-job37494376,3.316406e+02,2.421875e+02,3.448449e-04,7.722339e-03,2.262582e+01,4.258836e-04,2.005996e-01,3.313516e-02,1.031151e-04,1.506348e-03,2.840820e-03,1.660078e-03,1.747674e+01,4.269082e+01,4.909514e+01,4.680248e+00,3.775942e-01,2.230992e+00,7.085032e+00,2.892786e+00,1.202590e-01,9.257459e+01
2025-04-06_03-03-55-job37502639,3.316406e+02,2.421875e+02,3.474766e-04,7.714847e-03,2.257686e+01,3.939973e-04,1.981929e-01,3.238301e-02,1.041494e-04,1.512187e-03,2.846660e-03,1.661758e-03,1.748136e+01,4.272575e+01,4.916100e+01,4.682453e+00,3.822357e-01,2.234592e+00,7.085311e+00,2.901150e+00,1.204619e-01,9.240603e+01
2025-03-05_04-49-57-job36509233,3.320312e+02,2.425781e+02,3.623457e-04,7.750639e-03,2.284439e+01,5.063730e-04,1.993489e-01,3.389883e-02,1.030486e-04,1.512676e-03,2.845254e-03,1.661172e-03,1.759477e+01,4.284391e+01,4.923882e+01,4.698938e+00,3.742077e-01,2.238264e+00,7.150524e+00,2.905123e+00,1.207352e-01,9.245124e+01
2025-03-17_04-57-04-job36942712,3.320312e+02,2.425781e+02,3.634609e-04,7.787393e-03,2.283750e+01,3.848387e-04,1.998346e-01,3.350742e-02,1.020974e-04,1.511660e-03,2.843496e-03,1.658984e-03,1.748201e+01,4.282518e+01,4.923510e+01,4.682032e+00,3.747578e-01,2.236869e+00,7.117293e+00,2.865116e+00,1.206183e-01,9.244812e+01
