app_name,run_time,job_id,runtime
AMG2023,2025-04-04_21-07-11,37474080,331.997612
AMG2023,2025-04-05_04-38-26,37485587,331.781563
AMG2023,2025-04-05_10-24-34,37488995,331.373952
AMG2023,2025-04-06_01-39-48,37494376,331.461316
AMG2023,2025-04-06_03-03-55,37502639,331.510112
AMG2023,2025-04-06_10-06-53,37509576,330.56482
deepCAM,2025-03-14_12-28-06,36862522,148.96284000000028
deepCAM,2025-03-14_19-15-23,36868339,149.17702000000014
deepCAM,2025-03-15_10-35-58,36878027,164.00136999999995
deepCAM,2025-03-15_23-06-08,36886492,150.22771999999998
deepCAM,2025-03-15_23-30-06,36889648,150.60942999999992
deepCAM,2025-03-16_08-05-47,36901841,148.53916000000012
deepCAM,2025-03-16_12-25-07,36914008,150.17612999999994
deepCAM,2025-03-16_17-46-31,36928087,150.3582299999997
deepCAM,2025-03-16_18-11-02,36928343,149.62458000000007
deepCAM,2025-03-17_05-00-14,36942716,148.76460999999995
deepCAM,2025-03-17_20-39-39,36957072,166.38887000000025
deepCAM,2025-03-17_22-45-52,36967718,150.2316199999997
deepCAM,2025-03-18_12-37-52,36968839,151.06447000000006
deepCAM,2025-03-18_15-52-08,36975556,152.94615999999994
deepCAM,2025-03-18_16-55-35,36979949,151.02405000000007
deepCAM,2025-03-18_17-09-53,36992783,150.11715999999984
deepCAM,2025-03-19_02-10-51,37004998,166.13775000000055
deepCAM,2025-03-19_12-32-40,37010114,152.21187999999987
deepCAM,2025-03-20_00-20-48,37025476,148.45847000000018
deepCAM,2025-03-20_03-27-31,37036081,149.69670999999994
deepCAM,2025-03-20_11-33-41,37044729,148.96899999999997
deepCAM,2025-03-20_17-05-45,37056497,165.39279000000033
deepCAM,2025-03-21_16-36-06,37059401,150.4368
deepCAM,2025-03-21_18-59-07,37069933,148.79687999999987
deepCAM,2025-03-21_19-16-17,37078656,149.93244000000018
deepCAM,2025-03-22_07-08-17,37089701,151.18067000000005
deepCAM,2025-03-22_13-29-57,37095458,148.89839999999998
deepCAM,2025-03-22_14-00-25,37102025,151.11549999999988
deepCAM,2025-03-23_13-06-49,37108582,149.6907500000002
deepCAM,2025-03-23_16-29-25,37114607,150.72819999999982
deepCAM,2025-03-23_17-07-32,37118359,148.63086999999982
deepCAM,2025-03-24_02-37-48,37124651,148.6180099999998
deepCAM,2025-03-24_02-54-56,37125764,164.78294999999983
deepCAM,2025-03-24_07-25-36,37136775,148.90049000000013
deepCAM,2025-03-24_09-18-31,37143025,150.44713000000016
deepCAM,2025-03-24_17-38-00,37153377,149.1188600000003
deepCAM,2025-03-25_10-18-59,37168769,149.42189000000022
deepCAM,2025-03-25_12-24-41,37176442,149.1805300000001
deepCAM,2025-03-25_17-51-43,37186660,150.26960999999994
deepCAM,2025-03-25_22-08-18,37186938,150.53023000000007
deepCAM,2025-03-26_01-54-26,37202855,151.69608999999994
deepCAM,2025-04-01_02-01-11,37350486,148.26850999999988
deepCAM,2025-04-01_06-32-14,37359317,149.68794999999997
deepCAM,2025-04-01_10-20-46,37363996,149.11276999999998
deepCAM,2025-04-02_01-08-32,37383401,151.25681999999975
deepCAM,2025-04-02_04-11-47,37395774,148.66320000000002
deepCAM,2025-04-02_11-02-20,37400053,148.7878499999998
deepCAM,2025-04-02_20-53-29,37409187,148.31395999999992
deepCAM,2025-04-03_09-14-27,37415943,149.5316699999997
deepCAM,2025-04-03_13-29-27,37424372,148.5903100000001
deepCAM,2025-04-04_09-45-10,37437372,149.6141299999994
