Node,GPU,Time
nid003401,2,0.270025
nid003560,1,0.266817
nid003560,0,0.27006
nid003612,1,0.270006
nid003612,2,0.269368
nid003401,0,0.270338
nid003517,1,0.273082
nid003601,0,0.273455
nid003560,3,0.26797
nid003412,1,0.269677
nid003521,0,0.268447
nid003301,2,0.269512
nid003661,0,0.276602
nid003584,3,0.273049
nid003661,1,0.273584
nid003444,1,0.269259
nid003521,1,0.269456
nid003301,0,0.276992
nid003353,0,0.274686
nid003612,0,0.271571
nid003521,2,0.270794
nid003584,1,0.27012
nid003616,1,0.271155
nid003584,2,0.275565
nid003616,2,0.275799
nid003521,3,0.26968
nid003616,0,0.275945
nid003517,3,0.270182
nid003601,1,0.272536
nid003412,0,0.274121
nid003469,0,0.273013
nid003469,1,0.272281
nid003380,2,0.276536
nid003444,0,0.27329
nid003469,3,0.271404
nid003612,3,0.272308
nid003301,3,0.272425
nid003517,0,0.276234
nid003661,2,0.275199
nid003353,1,0.273393
nid003584,0,0.274433
nid003517,2,0.275349
nid003601,2,0.273945
nid003380,0,0.275417
nid003444,2,0.274023
nid003380,3,0.273189
nid003661,3,0.273294
nid003624,0,0.275962
nid003469,2,0.274254
nid003624,3,0.274272
nid003401,1,0.274855
nid003616,3,0.273454
nid003601,3,0.274783
nid003353,3,0.272753
nid003444,3,0.273509
nid003412,2,0.275817
nid003412,3,0.282435
nid003380,1,0.283962
nid003636,1,0.267154
nid003636,2,0.268822
nid002156,1,0.269158
nid002156,3,0.270709
nid003636,3,0.271527
nid001461,3,0.268147
nid003573,1,0.264395
nid001644,2,0.267335
nid002156,0,0.273228
nid003573,3,0.266376
nid001461,2,0.27031
nid001644,3,0.268594
nid001816,2,0.269697
nid001344,1,0.272959
nid001640,0,0.26967
nid002156,2,0.268512
nid003572,3,0.26962
nid003572,2,0.273207
nid001329,3,0.267162
nid003636,0,0.269537
nid001312,3,0.269772
nid001461,1,0.273183
nid003633,1,0.272207
nid003633,3,0.269467
nid002212,2,0.272324
nid003573,0,0.269064
nid001816,3,0.268595
nid001312,2,0.267187
nid001344,3,0.268516
nid001357,1,0.270731
nid002320,1,0.269955
nid003572,1,0.274775
nid001816,0,0.274307
